Manager (* means still there),Rehired,Age,Year Hired,Team,Race,Race (B/W/O),Black,Country of Origin (Birthplace),Number of Matches (MLS),Wins (MLS),Draws (MLS),Losses (MLS),Points accrued,Tenure (Seasons),Experience-Post Tenure,Head Coaching Experience (Yrs),Assistant Coach Experience (Yrs),Rehire?,Average Total Squad Compensation,Former Player?,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Avg Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Avg Coach Rating
Mikael Stahre,0,42,2017,SJE,W,W,0,Sweden,28,4,8,16,20,1,11,10,2,0,"$8,721,753.00",FALSE,N/A,0,,0,,0,,0,,0,,0,,0,,0,0,NCAA D1,0,U17,43.8,,0,,0,,0,,0,7.3
Mike Petke,0,41,2017,RSL,W,W,0,USA,85,36,14,35,122,3,5,2,2,1,"$9,905,764.33",TRUE,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,,0,18.2625,MLSR,0,,0,,0,,0,,0,,0,0
Sigi Schmid,0,64,2017,LAG,W,W,0,Germany,48,15,13,20,58,1,42,41,11,1,"$16,297,950.00",FALSE,N/A,0,,0,,0,,0,,0,,0,,0,,0,0,MLX,80,,0,,0,,0,,0,,0,13.33333333
Wilmer Cabrera,0,50,2017,HOU,NW,O,0,Colombia,102,35,23,44,128,3,10,7,4,1,"$6,946,655.67",TRUE,EFL,75.4,EPL,93.8,,0,FTI,76.8,,0,,0,,0,,0,30.75,None,0,,0,,0,,0,,0,,0,0
Anthony Hudson,0,36,2018,COL,W,W,0,England,43,8,9,26,33,2,11,9,3,0,"$10,125,918.00",TRUE,LAL,58.4,NER,78.4,FTI,76.8,,0,,0,,0,,0,,0,26.7,CPA,78.1,MLS,69.3,,0,,0,,0,,0,24.56666667
Bob Bradley,1,60,2018,LAFC,W,W,0,USA,124,58,32,34,206,4,16,12,4,1,"$15,601,732.25",FALSE,N/A,0,,0,,0,,0,,0,,0,,0,,0,0,None,0,,0,,0,,0,,0,,0,0
Chris Armas,1,46,2018,NYRB,NW,O,0,USA,71,33,11,27,110,3,7,4,4,0,"$8,505,591.00",TRUE,USL,58.4,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,25.5625,MLS,69.3,,0,,0,,0,,0,,0,11.55
Domenec Torrent,0,56,2018,NYC,W,W,0,Spain,53,26,14,13,92,1,16,15,11,0,"$12,619,989.00",TRUE,LSL,0,,0,APSL,0,,0,,0,,0,,0,,0,0,NASL,0,USL,58.4,YO,0,,0,,0,,0,9.733333333
Giovanni Savarese,0,47,2018,POR,W,W,0,Venezuela,183,74,47,62,269,5,10,5,0,0,"$13,170,610.50",TRUE,VPD,66.6,EFL,75.4,,0,USL,58.4,ISC,66.3,FTI,76.8,,0,,0,42.9375,SSS,77.4,SCL,66,,0,,0,,0,,0,23.9
James O'Connor,0,39,2018,ORL,W,W,0,Ireland,56,13,14,29,53,2,6,4,1,0,"$11,048,066.00",TRUE,USL,58.4,EFL,75.4,FTI,76.8,,0,,0,,0,,0,,0,26.325,None,0,,0,,0,,0,,0,,0,0
Remi Garde,0,51,2018,MTL,W,W,0,France,61,24,8,29,80,2,6,4,2,0,"$13,878,685.00",TRUE,FL1,85.1,EPL,93.8,MLS,69.3,,0,,0,,0,,0,,0,31.025,USLPD,0,USL1,45.9,USL,58.4,,0,,0,,0,17.38333333
Alan Koch,0,44,2019,CIN,W,W,0,South Africa,11,2,2,7,8,1,11,10,3,0,"$11,420,531 ",TRUE,LGL,0,U23,66.3,,0,,0,,0,,0,,0,,0,8.2875,None,0,,0,,0,,0,,0,,0,0
Caleb Porter,0,44,2019,CLB,W,W,0,USA,124,45,37,42,172,2,12,10,5,1,"$14,607,040.50",TRUE,MLS,69.3,USL,58.4,MLS,69.3,,0,,0,,0,,0,,0,24.625,None,0,,0,,0,,0,,0,,0,0
Frank de Boer,0,49,2019,ATL,W,W,0,Netherlands,55,31,5,19,98,2,14,12,3,0,"$13,635,007.50",TRUE,NER,78.4,SSL,71,MLS,69.3,SPFL,68.4,QSL,62.6,FTI,76.8,,0,,0,53.3125,YOU,0,EPA,76.6,,0,,0,,0,,0,12.76666667
Freddy Juarez,0,41,2019,RSL,NW,O,0,USA,57,20,15,22,75,2,4,2,3,0,"$11,377,747.00",TRUE,USL,58.4,MISL,0,ISB,74.8,,0,,0,,0,,0,,0,16.65,SDO,51,SWA,74.2,CPRL,52.4,GSL,80.7,,0,,0,43.05
Guillermo Barros Schelotto,0,46,2019,LAG,W,W,0,Argentina,53,21,6,26,69,2,8,6,0,0,"$18,958,240.50",TRUE,APD,80.8,MLS,69.3,,0,,0,,0,,0,,0,,0,18.7625,None,0,,0,,0,,0,,0,,0,0
